;Recettes;;;Dépenses;;;;;;Cadeau;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G76)),ISBLANK(G77)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G76)),ISBLANK($G77)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G76)),ISBLANK($G77)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G76)),ISBLANK($G77)),$C$42-$H$40-$F$42,"""")";;;FDJ;25;x;"=IF(I77=""x"",H77,0)";Divers;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G77)),ISBLANK(G78)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G77)),ISBLANK($G78)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G77)),ISBLANK($G78)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G77)),ISBLANK($G78)),$C$42-$H$40-$F$42,"""")";;;Leclerc;36.81;x;"=IF(I78=""x"",H78,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G78)),ISBLANK(G79)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G78)),ISBLANK($G79)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G78)),ISBLANK($G79)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G78)),ISBLANK($G79)),$C$42-$H$40-$F$42,"""")";;;Parfum Ael;87.9;x;"=IF(I79=""x"",H79,0)";Cadeau;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G79)),ISBLANK(G80)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G79)),ISBLANK($G80)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G79)),ISBLANK($G80)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G79)),ISBLANK($G80)),$C$42-$H$40-$F$42,"""")";;;Enceinte Ael;109.99;x;"=IF(I80=""x"",H80,0)";Cadeau;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G80)),ISBLANK(G81)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G80)),ISBLANK($G81)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G80)),ISBLANK($G81)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G80)),ISBLANK($G81)),$C$42-$H$40-$F$42,"""")";;;Bureau Vallée;6.38;x;"=IF(I81=""x"",H81,0)";Divers;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G81)),ISBLANK(G82)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G81)),ISBLANK($G82)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G81)),ISBLANK($G82)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G81)),ISBLANK($G82)),$C$42-$H$40-$F$42,"""")";;;Bureau Vallée;19.64;x;"=IF(I82=""x"",H82,0)";Divers;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G82)),ISBLANK(G83)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G82)),ISBLANK($G83)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G82)),ISBLANK($G83)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G82)),ISBLANK($G83)),$C$42-$H$40-$F$42,"""")";;;Retrait Marché;50;x;"=IF(I83=""x"",H83,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G83)),ISBLANK(G84)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G83)),ISBLANK($G84)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G83)),ISBLANK($G84)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G83)),ISBLANK($G84)),$C$42-$H$40-$F$42,"""")";;;Sushi;53;x;"=IF(I84=""x"",H84,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G84)),ISBLANK(G85)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G84)),ISBLANK($G85)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G84)),ISBLANK($G85)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G84)),ISBLANK($G85)),$C$42-$H$40-$F$42,"""")";;;Cultura;46.39;x;"=IF(I85=""x"",H85,0)";Loisirs;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G85)),ISBLANK(G86)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G85)),ISBLANK($G86)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G85)),ISBLANK($G86)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G85)),ISBLANK($G86)),$C$42-$H$40-$F$42,"""")";;;MArché;10.25;x;"=IF(I86=""x"",H86,0)";Courses;;;;;;;;;;;;;;;;;;
